,2018,2024,total,2018_relative,2024_relative,relative_diff
doğrusal,1,20,21,0.000574052812858783,0.0053404539385847796,0.004766401125725996
toplam,10,10,20,0.0057405281285878304,0.0026702269692923898,-0.0030703011592954407
limit,4,16,20,0.002296211251435132,0.004272363150867824,0.0019761518994326917
yönelik,0,20,20,0.0,0.0053404539385847796,0.0053404539385847796
çıkarım,0,20,20,0.0,0.0053404539385847796,0.0053404539385847796
önerme,1,18,19,0.000574052812858783,0.004806408544726302,0.004232355731867519
kontrol,0,19,19,0.0,0.005073431241655541,0.005073431241655541
parça,8,11,19,0.004592422502870264,0.002937249666221629,-0.0016551728366486352
oluştur,1,18,19,0.000574052812858783,0.004806408544726302,0.004232355731867519
sözel,1,18,19,0.000574052812858783,0.004806408544726302,0.004232355731867519
içer,4,15,19,0.002296211251435132,0.004005340453938585,0.001709129202503453
yöntem,3,16,19,0.001722158438576349,0.004272363150867824,0.002550204712291475
alan,15,3,18,0.008610792192881744,0.0008010680907877169,-0.007809724102094027
bulun,9,9,18,0.005166475315729047,0.002403204272363151,-0.0027632710433658962
bileşen,1,16,17,0.000574052812858783,0.004272363150867824,0.0036983103380090407
soru,1,16,17,0.000574052812858783,0.004272363150867824,0.0036983103380090407
dörtgen,7,9,16,0.004018369690011481,0.002403204272363151,-0.00161516541764833
yardım,14,2,16,0.008036739380022962,0.000534045393858478,-0.007502693986164484
olay,7,9,16,0.004018369690011481,0.002403204272363151,-0.00161516541764833
terim,6,10,16,0.003444316877152698,0.0026702269692923898,-0.0007740899078603081
ulaş,0,16,16,0.0,0.004272363150867824,0.004272363150867824
g(x,0,16,16,0.0,0.004272363150867824,0.004272363150867824
istatistiksel,0,16,16,0.0,0.004272363150867824,0.004272363150867824
teorem,6,10,16,0.003444316877152698,0.0026702269692923898,-0.0007740899078603081
olası,3,12,15,0.001722158438576349,0.0032042723631508676,0.0014821139245745187
genel,0,15,15,0.0,0.004005340453938585,0.004005340453938585
sun,0,15,15,0.0,0.004005340453938585,0.004005340453938585
sağla,1,14,15,0.000574052812858783,0.003738317757009346,0.003164264944150563
süreç,1,13,14,0.000574052812858783,0.003471295060080107,0.0028972422472213237
göster,9,5,14,0.005166475315729047,0.0013351134846461949,-0.0038313618310828524
grafiksel,1,13,14,0.000574052812858783,0.003471295060080107,0.0028972422472213237
ispat,0,14,14,0.0,0.003738317757009346,0.003738317757009346
benze,2,12,14,0.001148105625717566,0.0032042723631508676,0.002056166737433302
çember,11,3,14,0.006314580941446613,0.0008010680907877169,-0.005513512850658896
çıktı,0,14,14,0.0,0.003738317757009346,0.003738317757009346
uzunluk,13,0,13,0.007462686567164179,0.0,-0.007462686567164179
dur,12,1,13,0.006888633754305396,0.000267022696929239,-0.006621611057376157
bileşke,2,11,13,0.001148105625717566,0.002937249666221629,0.0017891440405040629
simetri,5,8,13,0.0028702640642939152,0.002136181575433912,-0.0007340824888600033
yorumla,3,10,13,0.001722158438576349,0.0026702269692923898,0.0009480685307160408
tablo,5,8,13,0.0028702640642939152,0.002136181575433912,-0.0007340824888600033
dizi,0,13,13,0.0,0.003471295060080107,0.003471295060080107
hatırlat,10,2,12,0.0057405281285878304,0.000534045393858478,-0.005206482734729352
çarpan,7,5,12,0.004018369690011481,0.0013351134846461949,-0.002683256205365286
ödev,0,12,12,0.0,0.0032042723631508676,0.0032042723631508676
çiz,11,1,12,0.006314580941446613,0.000267022696929239,-0.006047558244517374
çokgen,3,9,12,0.001722158438576349,0.002403204272363151,0.0006810458337868021
dönüşüm,1,11,12,0.000574052812858783,0.002937249666221629,0.002363196853362846
uygulama,9,3,12,0.005166475315729047,0.0008010680907877169,-0.00436540722494133
alın,7,5,12,0.004018369690011481,0.0013351134846461949,-0.002683256205365286
algoritma,0,12,12,0.0,0.0032042723631508676,0.0032042723631508676
kâğıd,0,12,12,0.0,0.0032042723631508676,0.0032042723631508676
ilişkilendir,9,2,11,0.005166475315729047,0.000534045393858478,-0.004632429921870569
görev,0,11,11,0.0,0.002937249666221629,0.002937249666221629
yaşam,0,11,11,0.0,0.002937249666221629,0.002937249666221629
değişim,4,7,11,0.002296211251435132,0.001869158878504673,-0.0004270523729304591
geometrik,0,11,11,0.0,0.002937249666221629,0.002937249666221629
performans,0,11,11,0.0,0.002937249666221629,0.002937249666221629
koşul,1,10,11,0.000574052812858783,0.0026702269692923898,0.0020961741564336066
dış,9,2,11,0.005166475315729047,0.000534045393858478,-0.004632429921870569
kategorik,0,11,11,0.0,0.002937249666221629,0.002937249666221629
yapı,0,11,11,0.0,0.002937249666221629,0.002937249666221629
derece,7,4,11,0.004018369690011481,0.001068090787716956,-0.0029502789022945253
karesel,0,11,11,0.0,0.002937249666221629,0.002937249666221629
doğrula,0,10,10,0.0,0.0026702269692923898,0.0026702269692923898
eleman,5,5,10,0.0028702640642939152,0.0013351134846461949,-0.0015351505796477203
rasyonel,2,8,10,0.001148105625717566,0.002136181575433912,0.0009880759497163459
dairesel,0,10,10,0.0,0.0026702269692923898,0.0026702269692923898
açık,5,5,10,0.0028702640642939152,0.0013351134846461949,-0.0015351505796477203
